Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
57	254987.1704504572	50454.084183873405	172796.10827999222	332482.1301743065	-41.576528042205155	11.094360772701872	-58.836638191351895	-22.961430343135223
58	266127.7532684001	88874.95017561065	123688.18780468631	397698.3826367058	-44.072603737999685	17.97944562420096	-72.39706000457106	-17.443701953122932
59	258229.89867405657	68869.2151350802	136906.31982561038	347823.4797819853	-41.3749297598323	13.375449645659137	-69.07195573778955	-23.833881597952523
60	296789.1880117675	120715.18188648159	90201.87410804356	551975.7842056887	-44.04517759046468	13.950811157834064	-65.16197838310708	-24.216145663432027
61	339462.39858258533	140807.8359573501	154368.79923161902	683190.7271009578	-49.484669140135715	13.595748333133692	-80.41211743851758	-33.02029516005732
62	313674.39356601104	120568.86118522151	135013.02002679292	586150.6148234637	-38.30448466640143	12.646513893565718	-51.631674651816844	-14.497144706090477
63	244419.06262255338	64883.38129039998	143299.0504646961	330045.2095321544	-55.10751508225675	14.09033445130517	-83.51281497022242	-33.30384328954632
64	275168.6126671422	86645.18573771023	164042.65434267418	462383.18421997	-50.49477188285423	12.853537963834382	-65.24584940150802	-21.571179945595116
65	254073.87398688318	52958.52222862549	168460.80338760678	339812.03562252235	-41.04569545307847	11.77188642066737	-58.916967817300005	-20.33871137330233
66	314162.6670763755	90367.87370906089	174941.38764975767	434119.98583592736	-39.58972045657596	16.678275254192766	-78.13847602726798	-20.666978168719016
67	320445.0443202715	104604.50498114676	157830.99122854308	462808.8005509581	-45.97599498824602	17.668739867115445	-78.54303005641185	-19.487611530673888
68	261442.36097817082	87118.66376892956	105602.6455620884	433637.7576998989	-39.88136304305952	16.792165778926186	-76.3043585729995	-16.816708521067763
69	330257.2086811937	103145.20823452997	164543.28414655884	567662.942923371	-43.76949993866321	9.252674760758225	-60.70292881759607	-29.758213483741415
70	337068.26377944637	148144.67291091598	141039.30819180183	652525.1743776771	-41.07507568154507	14.37028877901051	-61.17077210917653	-22.708242644129466
71	295225.3103008399	124120.2761735215	136467.24344271226	501004.91774530057	-44.12352311335314	17.27329845426235	-75.69715766185273	-24.524736785732912
72	295410.2792221084	178341.27955753476	37303.80425428673	697206.4818197966	-40.13432961359977	21.30943890675631	-78.71968578422411	-13.159651653109794
73	274171.10600053344	114496.7240705626	122815.47932582685	521080.20866158704	-46.14760837775803	20.571812055898327	-87.32644326637181	-22.245248069446504
74	265009.7821404166	76388.12311481073	128846.04486980791	424223.3941482767	-38.08920227328881	15.944912972789249	-76.42690108216193	-17.39025163447905
75	278957.94086316886	96790.86305750819	164864.92342432408	520679.6756156877	-50.700090946208775	16.655460960025614	-77.29348032084367	-28.39254490616477
