Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
3800	4.097521	7.896414	16.810736	-17.405798	13.0547	3.6098921	15.086132	2.3101523	33.6	46.4	21	2.7312412	3.8615115	10.431294	-35.609432	2.7315035	3.8590488	10.5800495	-39.529675	-2.8565505	0.30533883	9483.42357134819
3900	5.520543	8.490711	18.531946	-25.314718	-14.081769	7.5519094	7.7790823	-20.126284	35.37	23.1	24	1.1607753	4.6593075	10.712772	-32.38415	1.1607484	4.6571956	11.021652	-31.590734	-1.3987566	0.39944044	9660.541088581085
4000	7.007736	11.207596	20.448849	-30.428148	5.4952674	1.9096484	7.883876	1.684032	39.15	26.6	34	2.6139553	4.158994	10.987122	-26.178516	2.6141162	4.1567936	11.033611	-26.76435	-2.7287414	0.26389626	9856.790254354477
4100	3.694133	9.409783	14.984419	-31.715687	8.825689	1.3774222	12.512824	7.080039	37.13	31.8	45	2.6055744	4.0569596	10.544808	-21.545864	2.6052248	4.0575686	10.584544	-21.227764	-2.765314	0.21828109	10045.359714269638
4200	6.3066926	10.943224	17.854973	-24.786123	17.451937	0.52057546	18.3932	16.834488	38.96	57.0	60	2.2878652	4.4262047	11.066383	-32.850803	2.2866535	4.425964	10.525811	-33.457237	-2.511741	0.35681328	10252.040115356445
4300	8.835939	7.0203795	19.04769	-17.542948	12.223243	1.013942	13.211507	9.582826	43.74	39.3	40	2.2978113	5.044481	10.912115	-33.426823	2.2973619	5.044786	10.41888	-33.454258	-2.5877333	0.38501287	10471.717736721039
4400	6.5692053	4.8323016	16.055513	-7.1310444	9.492691	1.9930042	15.2422	8.062363	32.04	33.0	25	3.2975743	3.0001535	10.2662525	-15.259121	3.297541	2.9982798	9.813876	-15.51138	-3.466595	0.15914299	10636.57996249199
4500	8.844439	5.827843	17.473558	-10.970742	16.84892	1.5995582	18.26661	13.269399	38.37	54.0	41	3.5540323	2.5803828	9.539684	-12.989622	3.5542674	2.5781147	9.841583	-13.088635	-3.6932795	0.12628697	10837.200752735138
4600	9.313391	8.606716	19.366474	-16.394617	-2.5512352	4.035682	3.1764686	-12.266193	40.96	19.9	26	3.917267	3.3851178	10.326099	-22.360449	3.9175239	3.3851895	10.366789	-21.604725	-4.068479	0.1758814	11036.66164112091
4700	7.353962	8.568693	19.978727	-32.87195	5.9302607	4.657341	16.492666	0.47443464	38.42	43.1	28	3.588007	3.926184	11.644795	-20.631126	3.5876582	3.9278355	11.327654	-20.904066	-3.8155105	0.27081123	11233.666387796402
4800	9.147744	5.776289	20.180098	-22.163143	7.2869744	0.8332353	8.475082	5.1498117	39.34	28.9	30	3.278945	3.6215446	10.611938	-14.32151	3.2786827	3.6201262	10.743393	-12.8186245	-3.555283	0.2822543	11429.476240873337
4900	5.563511	8.97806	16.142588	-37.309605	5.6431603	5.112625	9.432675	-8.664947	36.51	29.1	50	2.5352948	3.7337227	10.497093	-18.549877	2.535397	3.7307923	10.509504	-17.714302	-2.8231795	0.42670184	11613.03024148941
5000	5.773833	8.033158	17.886301	-13.847038	12.868155	1.3652025	14.510113	9.113961	31.56	43.0	13	2.0757513	4.0142136	10.855981	-27.43519	2.075697	4.0184083	11.35516	-27.571152	-2.4110124	0.47903168	11779.591745138168
5100	9.5469265	6.206267	20.345158	-10.552978	8.604261	1.1911087	11.773197	6.8681784	37.6	29.5	26	3.1496193	3.7068615	13.257469	-28.8716	3.1500847	3.7096393	13.374584	-28.684166	-3.39936	0.29931393	11967.536165237427
