Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
2600	-17.665	11.050585	16.937023	-39.58884	-3.705571	4.942349	-0.8135392	-18.214584	46.76	46.8	18	-5.5989494	10.078163	26.00385	-41.772575	-5.598535	10.077072	26.167507	-42.497246	-5.2658305	10.090039	26.513351	-41.584583	-2.6044056	0.4744026	1.8734345	-9.149424	5.0339255	0.6894036	0.6998621	0.08473964	9303.148920536041
2700	-15.831332	10.715811	12.737685	-41.637886	1.2702209	3.0247169	10.0	-0.9054865	50.64	44.0	29	-5.508449	10.122502	26.661768	-41.38777	-5.5082226	10.120793	26.787333	-43.170635	-5.1765337	10.135792	27.107616	-41.565857	-2.6139061	0.4635814	3.3688426	-9.766148	4.945007	0.67514825	0.6884064	0.08298159	9533.670359373093
2800	-9.2457	11.991718	12.950169	-36.438576	-18.780807	7.360407	3.2277882	-21.964693	56.68	26.5	65	-5.499919	10.187406	27.028757	-41.68036	-5.4998083	10.186785	27.118149	-42.788273	-5.165418	10.20145	27.509514	-41.751446	-2.624726	0.4512119	3.3045168	-11.262295	4.935843	0.6591088	0.6695976	0.083434545	9783.021881341934
2900	-9.600322	13.29255	31.992	-50.5549	-9.990035	1.1960183	-8.63986	-12.545671	64.51	47.7	75	-5.430126	10.256355	27.053198	-41.787838	-5.429976	10.254758	27.212122	-42.652813	-5.0985165	10.272122	27.471092	-41.514793	-2.6316316	0.44184607	1.9713717	-10.08994	4.8693857	0.6358256	0.64765847	0.08285342	10070.79737997055
3000	-8.059873	12.439893	14.392372	-32.98145	9.364653	3.3066022	12.514398	0.12387272	62.59	49.8	45	-5.392371	10.328114	27.190851	-41.367737	-5.392246	10.326485	27.462236	-42.42212	-5.06111	10.342379	27.805168	-41.600105	-2.641235	0.43087095	2.5313377	-10.113613	4.830083	0.6334038	0.6443592	0.08377376	10351.397782564163
3100	-16.126259	8.281427	15.942618	-37.14109	-16.620625	2.468166	-9.700298	-19.963665	44.17	32.4	22	-5.397398	10.402703	27.390947	-41.577393	-5.397177	10.401222	27.247004	-42.994904	-5.067876	10.417359	27.793362	-42.22341	-2.648262	0.41916257	1.6703873	-11.263068	4.8343706	0.619739	0.6313531	0.08511251	10552.505762577057
3200	-13.206781	12.226642	16.952911	-46.18384	15.445145	9.234825	19.8013	-12.065979	59.77	54.3	41	-5.437751	10.403213	27.48566	-42.12169	-5.4376054	10.402203	27.468658	-43.117947	-5.1059413	10.417513	28.037558	-42.47967	-2.6538153	0.41066137	2.191144	-9.914233	4.8739166	0.6188721	0.6299857	0.08301696	10823.433384656906
3300	-17.825466	9.7868805	8.185313	-36.18076	-1.2331136	5.6172876	2.3808823	-17.95657	47.37	50.2	38	-5.4606147	10.418781	27.505775	-42.37315	-5.4604955	10.418117	27.760567	-43.585342	-5.1287274	10.435002	28.00246	-42.827766	-2.659071	0.4057527	0.9617748	-11.605014	4.8972073	0.6122927	0.6238989	0.08305381	11043.64496421814
3400	-19.929237	6.1635675	-0.76199615	-35.514946	-16.436586	0.41654888	-15.748319	-17.194918	42.08	20.0	50	-5.4200406	10.449534	27.955477	-42.931557	-5.419885	10.44801	28.046051	-43.985508	-5.0837927	10.464677	28.596066	-43.586758	-2.6659596	0.39492732	1.174963	-9.635934	4.85421	0.5988707	0.61082673	0.0826865	11232.61260008812
3500	-13.785131	14.075106	49.448643	-43.93838	-16.070934	3.3180087	-13.647471	-25.320696	59.07	38.9	20	-5.421743	10.373569	28.208447	-43.176243	-5.4215555	10.372973	28.45357	-43.71835	-5.085036	10.387697	28.712923	-43.889156	-2.6695392	0.39475575	1.1111317	-9.910141	4.857502	0.60167027	0.61155605	0.08206577	11495.949622392654
